time,G(i),H_sun,T2m,WS10m,Int
20050107:0111,0,0,7.03,6.28,0
20050107:0211,0,0,7.73,6.34,0
20050107:0311,0,0,8.17,6.34,0
20050107:0411,0,0,8.49,6.41,0
20050107:0511,0,0,8.67,6.48,0
20050107:0611,0,0,8.78,6.55,0
20050107:0711,0,0,8.98,6.83,0
20050107:0811,0,0,9.17,6.9,0
20050107:0911,10.02,8.76,9.37,7.03,0
20050107:1011,22.77,12.66,9.42,6.9,0
20050107:1111,17.31,14.5,9.53,6.97,0
20050107:1211,18.22,14.12,9.85,7.17,0
20050107:1311,48.27,11.54,10.27,7.17,0
20050107:1411,226.04,6.99,10.5,6.83,0
20050107:1511,8.2,0.83,10.52,6.55,0
20050107:1611,0,0,10.55,6.34,0
20050107:1711,0,0,10.68,6.34,0
20050107:1811,0,0,10.56,6.14,0
20050107:1911,0,0,10.61,6.62,0
20050107:2011,0,0,10.64,6.76,0
20050107:2111,0,0,10.44,6.76,0
20050107:2211,0,0,10.25,6.62,0
20050107:2311,0,0,10.13,6.41,0
20050108:0011,0,0,10.13,6.34,0
20050108:0111,0,0,10.11,6.41,0
20050108:0211,0,0,10.08,6.41,0
20050108:0311,0,0,9.95,6.41,0
20050108:0411,0,0,9.7,6.41,0
20050108:0511,0,0,9.39,6.41,0
20050108:0611,0,0,9.02,6.69,0
20050108:0711,0,0,8.62,7.17,0
20050108:0811,0,0,8.56,7.66,0
20050108:0911,10.02,8.85,8.8,8.14,0
20050108:1011,24.59,12.77,9.61,8.55,0
20050108:1111,160.15,14.63,10.33,9.1,0
20050108:1211,113.03,14.26,10.51,9.52,0
20050108:1311,15.48,11.69,9.62,9.31,0
20050108:1411,64.94,7.15,9.79,9.17,0
20050108:1511,14.57,0.99,9.78,8.97,0
20050108:1611,0,0,8.31,9.24,0
20050108:1711,0,0,8.07,8.41,0
20050108:1811,0,0,7.53,8.07,0
20050108:1911,0,0,7.08,8,0
20050108:2011,0,0,6.76,7.45,0
20050108:2111,0,0,6.51,7.17,0
20050108:2211,0,0,6.18,6.83,0
20050108:2311,0,0,5.97,6.48,0
20050109:0011,0,0,5.73,6.14,0
20050109:0111,0,0,5.47,5.93,0
20050109:0211,0,0,5.14,5.72,0
