time,G(i),H_sun,T2m,WS10m,Int
20050321:2011,0,0,4.75,3.66,0
20050321:2111,0,0,4.02,3.52,0
20050321:2211,0,0,3.4,3.52,0
20050321:2311,0,0,2.83,3.45,0
20050322:0011,0,0,2.36,3.45,0
20050322:0111,0,0,1.95,3.38,0
20050322:0211,0,0,1.61,3.31,0
20050322:0311,0,0,1.34,3.24,0
20050322:0411,0,0,1.12,3.17,0
20050322:0511,0,0,0.99,3.17,0
20050322:0611,5.46,6.32,0.99,3.24,0
20050322:0711,180.34,15.09,2.36,3.17,0
20050322:0811,358.26,23.16,4.42,3.72,0
20050322:0911,556.99,30,6.69,4.14,0
20050322:1011,728.94,34.98,8.77,4.34,0
20050322:1111,885.29,37.46,10.52,4.48,0
20050322:1211,888.85,37.03,11.85,4.55,0
20050322:1311,600.54,33.76,12.64,4.55,0
20050322:1411,503.81,28.17,13.21,4.48,0
20050322:1511,593.69,20.9,13.38,4.21,0
20050322:1611,168.2,12.58,12.87,3.93,0
20050322:1711,38.54,3.7,11.89,3.86,0
20050322:1811,0,0,10.96,3.59,0
20050322:1911,0,0,10.12,3.38,0
20050322:2011,0,0,9.62,3.17,0
20050322:2111,0,0,9.37,2.83,0
20050322:2211,0,0,9.4,2.62,0
20050322:2311,0,0,9.42,2.41,0
20050323:0011,0,0,9.53,2.28,0
20050323:0111,0,0,9.87,2.28,0
20050323:0211,0,0,10.1,2.14,0
20050323:0311,0,0,10.04,2,0
20050323:0411,0,0,9.75,2.07,0
20050323:0511,0,0,9.19,2.21,0
20050323:0611,33.23,6.69,9.13,2.14,0
20050323:0711,204.33,15.46,10.27,2.34,0
20050323:0811,455.87,23.54,11.46,3.72,0
20050323:0911,257.82,30.39,12.33,3.52,0
20050323:1011,176.66,35.38,12.82,3.52,0
20050323:1111,303.06,37.86,13.48,3.66,0
20050323:1211,535,37.41,14.03,3.72,0
20050323:1311,156.66,34.11,14.16,3.24,0
20050323:1411,118.41,28.49,13.88,2.69,0
20050323:1511,132.31,21.2,13.74,2.34,0
20050323:1611,147.29,12.86,13.52,1.72,0
20050323:1711,61.38,3.97,12.65,0.83,0
20050323:1811,0,0,11.69,0.76,0
20050323:1911,0,0,10.07,1.24,0
20050323:2011,0,0,7.56,1.79,0
20050323:2111,0,0,5.98,1.93,0
20050323:2211,0,0,5.03,1.93,0
20050323:2311,0,0,4.4,1.93,0
20050324:0011,0,0,3.95,1.86,0
20050324:0111,0,0,3.75,1.93,0
20050324:0211,0,0,3.66,2,0
20050324:0311,0,0,3.35,2,0
20050324:0411,0,0,3.07,2.07,0
20050324:0511,0,0,2.88,2.14,0
20050324:0611,27.16,7.05,3.16,2.07,0
20050324:0711,175.96,15.82,6.49,2,0
20050324:0811,464.97,23.92,8.8,2.14,0
20050324:0911,692.01,30.79,11.36,2.28,0
20050324:1011,849.42,35.79,13.73,2.62,0
20050324:1111,968.22,38.26,15.57,2.9,0
20050324:1211,989.05,37.79,16.82,3.24,0
20050324:1311,926.74,34.47,17.51,3.52,0
20050324:1411,796.89,28.81,17.69,3.45,0
20050324:1511,607.84,21.49,17.61,3.31,0
20050324:1611,348.07,13.13,17.02,2.76,0
20050324:1711,78.16,4.24,15.48,2.76,0
20050324:1811,0,0,13.86,3.03,0
20050324:1911,0,0,13.15,3.17,0
20050324:2011,0,0,12.43,3.24,0
20050324:2111,0,0,11.72,3.1,0
20050324:2211,0,0,11.17,2.9,0
20050324:2311,0,0,10.67,2.55,0
20050325:0011,0,0,10.22,2.34,0
20050325:0111,0,0,9.69,2.21,0
20050325:0211,0,0,9.28,1.93,0
20050325:0311,0,0,9.25,1.79,0
20050325:0411,0,0,9.34,1.52,0
20050325:0511,0,0,9.46,1.38,0
20050325:0611,3.64,7.41,9.7,1.52,0
20050325:0711,62.56,16.19,10.52,1.45,0
20050325:0811,61.02,24.3,11.29,1.38,0
20050325:0911,46.45,31.18,11.92,1.86,0
20050325:1011,52.83,36.19,12.19,2,0
20050325:1111,90.17,38.65,12.52,2.21,0
20050325:1211,127.51,38.17,12.14,2.21,0
20050325:1311,136.62,34.82,11.85,1.72,0
20050325:1411,89.26,29.13,11.5,1.45,0
20050325:1511,68.31,21.78,11.41,1.24,0
20050325:1611,43.72,13.41,11.41,1.24,0
20050325:1711,6.38,4.51,10.9,1.38,0
20050325:1811,0,0,9.88,1.66,0
20050325:1911,0,0,9.55,1.24,0
20050325:2011,0,0,8.96,0.97,0
20050325:2111,0,0,9,0.62,0
20050325:2211,0,0,8.91,0.28,0
20050325:2311,0,0,8.41,0.41,0
20050326:0011,0,0,7.3,0.76,0
20050326:0111,0,0,6.41,0.83,0
20050326:0211,0,0,6.73,0.55,0
20050326:0311,0,0,6.34,0.28,0
20050326:0411,0,0,6.3,0.14,0
20050326:0511,0,0,6.32,0.34,0
20050326:0611,10.93,7.78,6.8,0.41,0
20050326:0711,54.65,16.56,8.19,1.45,0
20050326:0811,57.38,24.67,9.23,1.79,0
20050326:0911,149.25,31.57,10.4,1.86,0
20050326:1011,144.82,36.59,11.97,1.52,0
20050326:1111,306.46,39.05,12.35,1.59,0
20050326:1211,95.64,38.55,12.91,1.79,0
20050326:1311,59.2,35.17,13.72,1.79,0
20050326:1411,41.9,29.44,14.19,1.86,0
20050326:1511,68.31,22.07,14.26,2,0
20050326:1611,268.62,13.68,14.03,2.07,0
20050326:1711,45.01,4.78,12.87,2.21,0
20050326:1811,0,0,11.61,2.55,0
20050326:1911,0,0,10.39,2.41,0
20050326:2011,0,0,9.57,2.69,0
20050326:2111,0,0,9.04,2.9,0
20050326:2211,0,0,8.63,2.97,0
20050326:2311,0,0,8.3,2.9,0
20050327:0011,0,0,8.06,2.9,0
20050327:0111,0,0,7.63,2.9,0
20050327:0211,0,0,7.5,2.9,0
20050327:0311,0,0,7.08,2.97,0
20050327:0411,0,0,6.79,2.97,0
20050327:0511,0,0,6.59,2.97,0
20050327:0611,4.55,8.14,6.78,3.03,0
20050327:0711,16.39,16.93,7.93,4.48,0
20050327:0811,29.15,25.05,8.98,4.55,0
20050327:0911,65.58,31.96,10.01,4.76,0
20050327:1011,101.1,36.99,11.1,4.55,0
20050327:1111,182.16,39.45,12.14,4.21,0
20050327:1211,230.33,38.93,13.49,4,0
20050327:1311,327.89,35.51,14.49,3.93,0
20050327:1411,275.71,29.76,14.93,3.79,0
20050327:1511,107.48,22.36,14.94,3.52,0
20050327:1611,84.66,13.96,14.37,3.24,0
20050327:1711,34.18,5.04,13.59,3.45,0
20050327:1811,0,0,12.48,3.66,0
20050327:1911,0,0,11.2,3.59,0
20050327:2011,0,0,10.8,3.72,0
20050327:2111,0,0,10.49,3.72,0
20050327:2211,0,0,10.23,3.52,0
20050327:2311,0,0,9.99,3.31,0
20050328:0011,0,0,9.87,3.17,0
20050328:0111,0,0,9.79,2.97,0
20050328:0211,0,0,9.55,2.76,0
20050328:0311,0,0,9.55,2.83,0
20050328:0411,0,0,9.48,2.97,0
20050328:0511,0,0,9.43,3.03,0
20050328:0611,6.38,8.5,9.42,3.24,0
20050328:0711,55.56,17.3,9.24,3.1,0
20050328:0811,93.81,25.43,9.46,3.45,0
20050328:0911,239.59,32.35,10.18,4.07,0
20050328:1011,142.09,37.38,10.89,3.79,0
20050328:1111,145.73,39.84,11.46,3.86,0
20050328:1211,228.46,39.3,11.93,3.72,0
20050328:1311,140.27,35.86,12.64,3.86,0
20050328:1411,68.31,30.07,13.03,3.79,0
20050328:1511,89.26,22.65,13.16,3.45,0
20050328:1611,129.09,14.23,12.95,2.9,0
20050328:1711,48.9,5.31,12.34,2.41,0
20050328:1811,0,0,11.23,2.41,0
20050328:1911,0,0,11.24,2.83,0
20050328:2011,0,0,10.86,3.24,0
20050328:2111,0,0,10.25,3.24,0
20050328:2211,0,0,9.56,3.17,0
20050328:2311,0,0,8.9,3.17,0
20050329:0011,0,0,8.39,3.31,0
20050329:0111,0,0,7.82,3.31,0
20050329:0211,0,0,7.33,3.24,0
20050329:0311,0,0,6.92,3.24,0
20050329:0411,0,0,6.58,3.24,0
20050329:0511,0,0,6.26,3.31,0
20050329:0611,11.84,8.86,5.91,3.24,0
20050329:0711,19.13,17.66,6.13,2.76,0
20050329:0811,47.36,25.81,6.43,2.9,0
20050329:0911,69.22,32.74,6.67,2.97,0
20050329:1011,102.01,37.78,7.28,3.45,0
20050329:1111,117.5,40.24,7.88,3.72,0
20050329:1211,98.37,39.68,8.73,4.48,0
20050329:1311,104.74,36.21,9.43,4.41,0
20050329:1411,94.72,30.39,9.6,3.86,0
20050329:1511,61.94,22.94,9.32,3.59,0
20050329:1611,36.43,14.5,9.19,3.59,0
20050329:1711,40.72,5.57,8.98,3.66,0
20050329:1811,0,0,8.65,3.79,0
20050329:1911,0,0,8.67,3.38,0
20050329:2011,0,0,8.69,3.52,0
20050329:2111,0,0,8.69,3.66,0
20050329:2211,0,0,8.37,3.72,0
20050329:2311,0,0,8.21,3.79,0
20050330:0011,0,0,7.81,3.79,0
20050330:0111,0,0,7.44,3.66,0
20050330:0211,0,0,6.72,3.52,0
20050330:0311,0,0,6.2,3.59,0
20050330:0411,0,0,5.62,3.59,0
20050330:0511,0,0,5.33,3.66,0
20050330:0611,37.06,9.22,5.24,3.79,0
20050330:0711,187.77,18.03,6.16,4.28,0
20050330:0811,509.33,26.18,6.99,4.69,0
20050330:0911,588.76,33.13,8.36,4.9,0
20050330:1011,469.46,38.18,9.78,5.1,0
20050330:1111,627.86,40.63,11.06,5.31,0
20050330:1211,571.27,40.05,12,5.38,0
20050330:1311,267.43,36.55,12.65,5.38,0
20050330:1411,138.44,30.7,12.96,5.38,0
20050330:1511,141.93,23.23,12.83,5.31,0
20050330:1611,113.19,14.77,12.25,4.9,0
20050330:1711,128.02,5.83,11.21,4.41,0
20050330:1811,0,0,9.96,4.34,0
20050330:1911,0,0,9.2,4.14,0
20050330:2011,0,0,8.28,4.07,0
20050330:2111,0,0,7.43,3.93,0
20050330:2211,0,0,6.66,3.86,0
20050330:2311,0,0,5.94,3.72,0
20050331:0011,0,0,5.28,3.59,0
20050331:0111,0,0,4.65,3.38,0
20050331:0211,0,0,4.02,3.24,0
20050331:0311,0,0,3.42,3.17,0
20050331:0411,0,0,2.87,3.17,0
20050331:0511,0,0,2.39,3.24,0
20050331:0611,76.51,9.58,2.4,3.38,0
20050331:0711,298.76,18.39,3.48,3.45,0
20050331:0811,535.18,26.56,5.05,4,0
20050331:0911,742.39,33.51,6.81,3.93,0
20050331:1011,905.08,38.57,8.42,4.07,0
20050331:1111,1021.99,41.02,9.67,4.21,0
20050331:1211,1044.93,40.43,10.58,4.14,0
20050331:1311,971.17,36.89,11.21,4.07,0
20050331:1411,823.15,31.01,11.5,4,0
20050331:1511,610.62,23.51,11.46,3.93,0
20050331:1611,389.25,15.03,11.02,3.59,0
20050331:1711,121.12,6.09,10.05,2.9,0
20050331:1811,0,0,8.61,2.9,0
20050331:1911,0,0,7.96,3.03,0
20050331:2011,0,0,7.06,3.03,0
20050331:2111,0,0,6.26,2.97,0
20050331:2211,0,0,5.52,2.97,0
20050331:2311,0,0,4.87,2.9,0
20050401:0011,0,0,4.27,2.83,0
20050401:0111,0,0,3.71,2.76,0
20050401:0211,0,0,3.2,2.76,0
20050401:0311,0,0,2.72,2.69,0
20050401:0411,0,0,2.28,2.69,0
20050401:0511,0,0,1.86,2.62,0
20050401:0611,61.4,9.93,2.04,2.55,0
20050401:0711,291.18,18.75,3.86,2.76,0
20050401:0811,520.08,26.93,5.83,3.31,0
20050401:0911,738.43,33.9,7.78,3.52,0
20050401:1011,873.82,38.97,9.5,3.79,0
20050401:1111,980.93,41.42,10.82,3.93,0
20050401:1211,995.57,40.8,11.8,3.86,0
20050401:1311,923.31,37.23,12.44,3.79,0
20050401:1411,804.4,31.32,12.77,3.72,0
20050401:1511,613.83,23.79,12.74,3.66,0
20050401:1611,365.67,15.3,12.3,3.31,0
20050401:1711,123.54,6.36,11.13,2.76,0
20050401:1811,0,0,9.45,2.83,0
20050401:1911,0,0,9.14,3.1,0
20050401:2011,0,0,8.13,3.1,0
20050401:2111,0,0,7.22,2.97,0
20050401:2211,0,0,6.38,2.83,0
20050401:2311,0,0,5.57,2.69,0
20050402:0011,0,0,4.76,2.48,0
20050402:0111,0,0,3.93,2.41,0
20050402:0211,0,0,3.15,2.34,0
20050402:0311,0,0,2.46,2.34,0
20050402:0411,0,0,1.81,2.28,0
20050402:0511,0,0,1.21,2.28,0
20050402:0611,61.86,10.29,1.55,2.07,0
20050402:0711,287.59,19.11,4.53,2,0
20050402:0811,529.63,27.3,7.17,2.28,0
20050402:0911,725.85,34.28,9.58,2.48,0
20050402:1011,897.76,39.36,11.61,2.76,0
20050402:1111,984.08,41.81,13.17,3.31,0
20050402:1211,982.76,41.17,14.21,3.66,0
20050402:1311,911.56,37.57,14.89,3.86,0
20050402:1411,788.69,31.62,15.17,4,0
20050402:1511,601.29,24.07,15.1,4,0
20050402:1611,373.3,15.57,14.49,3.45,0
20050402:1711,127.03,6.62,13.09,3.45,0
20050402:1811,0,0,11.44,3.52,0
20050402:1911,0,0,11.21,3.52,0
20050402:2011,0,0,10.14,3.31,0
20050402:2111,0,0,9.08,3.1,0
20050402:2211,0,0,8.15,2.97,0
20050402:2311,0,0,7.36,2.9,0
20050403:0011,0,0,6.7,2.9,0
20050403:0111,0,0,6.09,2.76,0
20050403:0211,0,0,5.45,2.62,0
20050403:0311,0,0,4.72,2.41,0
20050403:0411,0,0,3.89,2.34,0
20050403:0511,0,0,3.11,2.34,0
20050403:0611,73.25,10.64,3.45,2.21,0
20050403:0711,294.45,19.47,6.61,2,0
20050403:0811,534.06,27.67,9.41,2.34,0
20050403:0911,735.96,34.66,11.85,2.41,0
20050403:1011,888.57,39.75,14.05,2.41,0
20050403:1111,971.66,42.19,15.83,2.48,0
20050403:1211,1008.34,41.54,17.04,2.76,0
20050403:1311,934.46,37.91,17.63,2.76,0
20050403:1411,814.76,31.93,17.86,2.48,0
20050403:1511,607.11,24.35,17.74,2.28,0
20050403:1611,373.78,15.83,17.12,1.79,0
20050403:1711,121.53,6.87,15.53,2.14,0
20050403:1811,0,0,13.31,2.48,0
20050403:1911,0,0,12.83,2.41,0
20050403:2011,0,0,10.88,2.48,0
20050403:2111,0,0,9.29,2.41,0
20050403:2211,0,0,8.04,2.41,0
20050403:2311,0,0,7.03,2.34,0
20050404:0011,0,0,6.22,2.28,0
20050404:0111,0,0,5.52,2.21,0
20050404:0211,0,0,4.97,2.14,0
20050404:0311,0,0,4.49,2.14,0
20050404:0411,0,0,4.15,2.07,0
20050404:0511,0,0,3.78,2,0
20050404:0611,63.8,10.99,4.61,1.72,0
20050404:0711,234.1,19.83,8.69,1.38,0
20050404:0811,513.9,28.04,11.54,1.52,0
20050404:0911,728.12,35.04,14.19,1.66,0
20050404:1011,898.52,40.14,16.42,1.86,0
20050404:1111,981.53,42.58,18.11,2.14,0
20050404:1211,1009.95,41.9,19.13,2.83,0
20050404:1311,908.85,38.24,19.4,3.59,0
20050404:1411,102.92,32.23,18.91,3.45,0
20050404:1511,494.02,24.63,18.8,3.45,0
20050404:1611,351.06,16.09,18.25,3.24,0
20050404:1711,101.39,7.13,16.84,2.97,0
20050404:1811,0,0,14.91,2.83,0
20050404:1911,0,0,14.18,2.69,0
20050404:2011,0,0,12.98,2.62,0
20050404:2111,0,0,11.95,2.62,0
20050404:2211,0,0,11.11,2.62,0
20050404:2311,0,0,10.39,2.76,0
20050405:0011,0,0,9.93,2.97,0
20050405:0111,0,0,9.79,2.83,0
20050405:0211,0,0,9.4,3.24,0
20050405:0311,0,0,7.93,3.31,0
20050405:0411,0,0,6.83,2.41,0
20050405:0511,0,0,6.32,1.66,0
20050405:0611,95.29,11.34,6.21,1.52,0
20050405:0711,188.13,20.18,7.32,2.21,0
20050405:0811,339.38,28.4,8.54,2.9,0
20050405:0911,497.8,35.42,9.51,3.72,0
20050405:1011,95.64,40.53,10.19,3.93,0
20050405:1111,228.13,42.96,10.84,4.21,0
20050405:1211,852.92,42.27,11.63,4.14,0
20050405:1311,760.04,38.58,12.3,4.21,0
20050405:1411,473.07,32.53,12.49,4.34,0
20050405:1511,274.41,24.91,12.52,4.55,0
20050405:1611,220.79,16.36,12.03,4.14,0
20050405:1711,105.99,7.39,11.28,3.24,0
20050405:1811,0,0,10.07,2.76,0
20050405:1911,0,0,9.11,2.55,0
20050405:2011,0,0,8.04,2.41,0
20050405:2111,0,0,6.94,2.14,0
20050405:2211,0,0,5.69,1.93,0
20050405:2311,0,0,4.52,2,0
20050406:0011,0,0,3.66,2.14,0
20050406:0111,0,0,3.15,2.21,0
20050406:0211,0,0,2.81,2.21,0
20050406:0311,0,0,2.77,2.21,0
20050406:0411,0,0,2.67,2.28,0
20050406:0511,0,0,3.28,2.28,0
20050406:0611,44.69,11.69,4.88,2.41,0
20050406:0711,218.05,20.54,6.94,2.48,0
20050406:0811,419.58,28.76,9.42,3.24,0
20050406:0911,681.02,35.8,11.2,3.86,0
20050406:1011,776.25,40.91,12.52,5.79,0
20050406:1111,639.65,43.35,13.05,5.79,0
20050406:1211,596.93,42.63,13.11,5.66,0
20050406:1311,445.67,38.91,13.48,5.79,0
20050406:1411,278.47,32.83,13.45,5.17,0
20050406:1511,161.29,25.18,13.24,4.28,0
20050406:1611,54.65,16.62,12.77,3.93,0
20050406:1711,31.88,7.64,12.23,3.31,0
20050406:1811,0,0,11.53,2.9,0
20050406:1911,0,0,10.81,3.24,0
20050406:2011,0,0,10.15,3.24,0
20050406:2111,0,0,9.43,3.38,0
20050406:2211,0,0,9.13,3.66,0
20050406:2311,0,0,9.2,3.59,0
20050407:0011,0,0,8.88,3.24,0
20050407:0111,0,0,8.12,3.24,0
20050407:0211,0,0,8.03,3.31,0
20050407:0311,0,0,8.27,3.1,0
20050407:0411,0,0,8.44,3.38,0
20050407:0511,0,0,8.33,3.72,0
20050407:0611,105.72,12.04,8.44,4.07,0
20050407:0711,317.49,20.89,8.98,4,0
20050407:0811,552.16,29.12,9.55,5.66,0
20050407:0911,288.24,36.17,9.99,6.76,0
20050407:1011,225.06,41.3,10.35,6.62,0
20050407:1111,160.3,43.73,11.17,6.55,0
20050407:1211,420.91,42.99,11.94,6.76,0
20050407:1311,872.4,39.24,12.14,6.97,0
20050407:1411,210.28,33.13,12.09,7.03,0
20050407:1511,594.85,25.46,10.34,7.59,0
20050407:1611,156.42,16.87,9.32,6.76,0
20050407:1711,106.41,7.9,9.07,5.03,0
20050407:1811,0,0,8.48,3.86,0
20050407:1911,0,0,8.12,3.38,0
20050407:2011,0,0,7.47,3.38,0
20050407:2111,0,0,6.94,3.31,0
20050407:2211,0,0,6.48,3.31,0
20050407:2311,0,0,6.17,3.38,0
20050408:0011,0,0,6.27,3.31,0
20050408:0111,0,0,6.09,3.03,0
20050408:0211,0,0,5.76,2.97,0
20050408:0311,0,0,5.52,2.9,0
20050408:0411,0,0,5.22,2.83,0
20050408:0511,0,0,4.88,2.69,0
20050408:0611,19.13,12.38,5.39,2.55,0
20050408:0711,49.18,21.24,6.65,2.9,0
20050408:0811,193.88,29.48,7.49,3.59,0
20050408:0911,238.18,36.54,8.35,2.97,0
20050408:1011,143.91,41.68,8.97,2.69,0
20050408:1111,515.81,44.11,9.59,2.62,0
20050408:1211,96.55,43.35,10.05,2.62,0
20050408:1311,120.23,39.56,9.84,2.97,0
20050408:1411,530.95,33.43,10.09,2.97,0
20050408:1511,500.95,25.73,10.04,3.38,0
20050408:1611,227.31,17.13,9.59,3.45,0
20050408:1711,90,8.15,8.77,2.83,0
20050408:1811,0,0,7.72,2.41,0
20050408:1911,0,0,7.19,1.72,0
20050408:2011,0,0,6.22,1.66,0
20050408:2111,0,0,5.58,1.86,0
20050408:2211,0,0,5.17,2.14,0
20050408:2311,0,0,4.65,2.62,0
20050409:0011,0,0,4.36,3.03,0
20050409:0111,0,0,4.09,3.38,0
20050409:0211,0,0,3.88,3.45,0
20050409:0311,0,0,3.59,3.24,0
20050409:0411,0,0,3.4,3.1,0
20050409:0511,0,0,2.96,2.83,0
20050409:0611,66.46,12.72,3.11,2.41,0
20050409:0711,86.89,21.58,3.36,3.24,0
20050409:0811,231.11,29.84,4.15,4,0
20050409:0911,271.93,36.91,4.87,3.86,0
20050409:1011,390.47,42.06,5.51,3.93,0
20050409:1111,649.3,44.48,6.14,3.93,0
20050409:1211,89.26,43.71,6.48,3.86,0
20050409:1311,150.28,39.89,6.96,3.52,0
20050409:1411,692,33.72,7.14,3.24,0
20050409:1511,494.46,26,6.89,3.03,0
20050409:1611,43.72,17.39,6.23,3.03,0
20050409:1711,108.2,8.41,5.56,2.9,0
20050409:1811,0,0,4.78,2.14,0
20050409:1911,0,0,3.51,1.52,0
20050409:2011,0,0,2.61,1.52,0
20050409:2111,0,0,1.71,1.79,0
20050409:2211,0,0,1.32,1.86,0
20050409:2311,0,0,1.43,2.07,0
20050410:0011,0,0,2.1,2.21,0
20050410:0111,0,0,2.82,2.34,0
20050410:0211,0,0,3.32,2.41,0
20050410:0311,0,0,3.76,2.55,0
20050410:0411,0,0,4.19,2.76,0
20050410:0511,0,0,4.57,2.97,0
20050410:0611,31.88,13.06,5.03,3.17,0
20050410:0711,181.71,21.92,5.77,2.62,0
20050410:0811,209.49,30.19,7.11,2.9,0
20050410:0911,182.47,37.28,8.29,2.97,0
20050410:1011,80.15,42.43,9.83,3.17,0
20050410:1111,233.43,44.86,10.5,3.31,0
20050410:1211,179.43,44.06,11.32,3.45,0
20050410:1311,85.62,40.21,11.25,3.93,0
20050410:1411,151.2,34.01,10.03,4,0
20050410:1511,56.47,26.27,9.59,4.48,0
20050410:1611,164.4,17.64,9.22,3.79,0
20050410:1711,85.79,8.66,8.7,3.1,0
20050410:1811,0,0,7.79,2.55,0
20050410:1911,0,0,6.35,2.07,0
20050410:2011,0,0,5.39,2.07,0
20050410:2111,0,0,4.59,2.14,0
20050410:2211,0,0,4,2.14,0
20050410:2311,0,0,3.53,2.07,0
20050411:0011,0,0,3.17,2.07,0
20050411:0111,0,0,3.05,2,0
20050411:0211,0,0,3.88,2,0
20050411:0311,0,0,4.34,2.14,0
20050411:0411,0,0,4.71,2.21,0
20050411:0511,0,0,4.95,2.34,0
20050411:0611,37.34,13.39,5.5,2.21,0
20050411:0711,131.7,22.26,7.41,2.55,0
20050411:0811,209.64,30.54,8.93,2.76,0
20050411:0911,387.87,37.64,10.67,2.83,0
20050411:1011,749.87,42.81,12.41,2.9,0
20050411:1111,751.83,45.23,13.86,3.38,0
20050411:1211,951.44,44.41,14.61,3.24,0
20050411:1311,629.62,40.53,14.92,2.97,0
20050411:1411,443.23,34.3,15.31,2.62,0
20050411:1511,456.89,26.53,15.19,2,0
20050411:1611,369.4,17.9,14.84,1.72,0
20050411:1711,103.24,8.91,14.35,1.59,0
20050411:1811,0,-0.02,12.86,1.79,0
20050411:1911,0,0,11.14,1.59,0
20050411:2011,0,0,9.19,1.59,0
20050411:2111,0,0,7.87,1.52,0
20050411:2211,0,0,6.92,1.45,0
20050411:2311,0,0,6.2,1.45,0
20050412:0011,0,0,5.44,1.52,0
20050412:0111,0,0,4.73,1.59,0
20050412:0211,0,0,4.56,1.45,0
20050412:0311,0,0,4.17,1.45,0
20050412:0411,0,0,3.78,1.45,0
20050412:0511,0,0,3.6,1.38,0
20050412:0611,107.57,13.73,5.26,0.76,0
20050412:0711,227.38,22.6,7.02,0.41,0
20050412:0811,295.83,30.89,8.85,0.48,0
20050412:0911,359.72,38,11.07,0.69,0
20050412:1011,888.97,43.18,12.32,0.83,0
20050412:1111,980.11,45.6,13.38,1.1,0
20050412:1211,722.3,44.76,14.21,1.52,0
20050412:1311,176.7,40.85,14.47,1.86,0
20050412:1411,89.26,34.59,14.53,1.93,0
20050412:1511,240.78,26.8,14.46,1.79,0
20050412:1611,150.03,18.15,14.29,1.59,0
20050412:1711,76.11,9.16,13.38,1.24,0
20050412:1811,3.4,0.24,12.45,1.45,0
20050412:1911,0,0,11.66,0.9,0
20050412:2011,0,0,11.02,0.97,0
20050412:2111,0,0,10.13,1.24,0
20050412:2211,0,0,9.5,1.38,0
20050412:2311,0,0,8.58,1.38,0
20050413:0011,0,0,7.75,1.24,0
20050413:0111,0,0,7.8,0.97,0
20050413:0211,0,0,8.16,0.76,0
20050413:0311,0,0,7.52,0.83,0
20050413:0411,0,0,6.94,0.97,0
20050413:0511,0,0,6.65,1.1,0
20050413:0611,18.22,14.06,7.72,0.9,0
20050413:0711,91.99,22.94,9.07,0.97,0
20050413:0811,222.31,31.24,10.36,1.24,0
20050413:0911,402.47,38.36,11.89,1.79,0
20050413:1011,437.25,43.55,13.09,2.34,0
20050413:1111,319.24,45.97,13.76,3.24,0
20050413:1211,357.5,45.11,14.61,3.86,0
20050413:1311,456.12,41.17,15.03,3.79,0
20050413:1411,190.73,34.88,14.7,3.24,0
20050413:1511,199.77,27.06,14.32,2.55,0
20050413:1611,96.55,18.4,14,2.07,0
20050413:1711,87.31,9.4,13.56,1.52,0
20050413:1811,3.4,0.49,12.61,1.38,0
20050413:1911,0,0,11.58,1.79,0
20050413:2011,0,0,11.22,2.07,0
20050413:2111,0,0,10.81,2.21,0
20050413:2211,0,0,10.36,2.28,0
20050413:2311,0,0,10.28,2.34,0
20050414:0011,0,0,9.88,2.34,0
20050414:0111,0,0,9.4,2.28,0
20050414:0211,0,0,9.06,2.14,0
20050414:0311,0,0,8.93,1.93,0
20050414:0411,0,0,8.96,1.86,0
20050414:0511,5.09,5.38,9.05,1.93,0
20050414:0611,52.76,14.38,9.76,2,0
20050414:0711,105.36,23.27,10.75,1.72,0
20050414:0811,459.17,31.58,12.21,2.07,0
20050414:0911,280.65,38.72,13.77,2.48,0
20050414:1011,526.73,43.91,15.11,2.9,0
20050414:1111,476.03,46.33,15.98,3.45,0
20050414:1211,438.1,45.46,16.3,3.45,0
20050414:1311,447.07,41.48,16.3,3.1,0
20050414:1411,274.93,35.16,16.4,2.83,0
20050414:1511,224.01,27.32,16.5,2.69,0
20050414:1611,94.72,18.65,15.9,1.79,0
20050414:1711,73.27,9.65,15.33,1.66,0
20050414:1811,5.94,0.74,13.95,2,0
20050414:1911,0,0,12.92,2,0
20050414:2011,0,0,11.98,2,0
20050414:2111,0,0,11.13,2,0
20050414:2211,0,0,10.42,2.07,0
20050414:2311,0,0,9.85,2.07,0
20050415:0011,0,0,9.27,2.07,0
20050415:0111,0,0,8.64,2.14,0
20050415:0211,0,0,8.42,2.07,0
20050415:0311,0,0,7.77,2,0
20050415:0411,0,0,7.07,2,0
20050415:0511,5.09,5.71,6.62,1.93,0
20050415:0611,93.45,14.71,7.91,1.52,0
20050415:0711,290.67,23.6,11.51,1.59,0
20050415:0811,491.63,31.92,14.04,1.93,0
20050415:0911,718.27,39.07,16.3,2.28,0
20050415:1011,857.77,44.28,18.05,2.76,0
20050415:1111,913.66,46.69,19.11,3.31,0
20050415:1211,890.1,45.8,19.65,3.38,0
20050415:1311,851.64,41.8,20.05,3.1,0
20050415:1411,724.94,35.44,20.1,3.03,0
20050415:1511,450.91,27.58,19.67,2.83,0
20050415:1611,255.69,18.9,19.01,2.62,0
20050415:1711,144.11,9.9,17.82,2.21,0
20050415:1811,2.55,1,15.96,1.86,0
20050415:1911,0,0,14.16,1.59,0
20050415:2011,0,0,12.73,1.86,0
20050415:2111,0,0,11.26,1.72,0
20050415:2211,0,0,10.46,1.31,0
20050415:2311,0,0,9.69,1.45,0
20050416:0011,0,0,8.96,1.52,0
20050416:0111,0,0,8.43,1.59,0
20050416:0211,0,0,8.04,1.66,0
20050416:0311,0,0,7.34,1.86,0
20050416:0411,0,0,6.94,1.93,0
20050416:0511,12.73,6.03,6.84,2,0
