Time/s,ABS III_Q_flow_sph/kW,ABS III_Q_flow_dhw/kW,ABS III_Q_flow_tot/kW,ABS II_Q_flow_sph/kW,ABS II_Q_flow_dhw/kW,ABS II_Q_flow_tot/kW,ABS I_Q_flow_sph/kW,ABS I_Q_flow_dhw/kW,ABS I_Q_flow_tot/kW
176400,3570.57675917013,6.214872573,3576.79163174313,1425.63268060302,2.05019439698109,1427.682875,1209.25700474006,1.6818165,1210.93882124006
180000,3594.70833778472,0.0239956469999999,3594.73233343172,1426.96815204691,0.00772295309508771,1426.975875,1207.61392320902,0.0064935,1207.62041670902
183600,3610.25587054338,2.471551641,3612.72742218438,1434.88194000168,0.763184998317124,1435.645125,1211.89289494215,0.6688305,1212.56172544215
187200,3607.45007172647,20.6394116834655,3628.08948340994,1443.5068326508,2.46529234920029,1445.972125,1217.50048933329,1.48935426495784,1218.98984359825
190800,3616.56816492334,62.9563882967895,3679.52455322013,1631.07183851141,6.25128648858634,1637.323125,1224.48067672054,0.675324,1225.15600072054
194400,3618.8110689055,171.511644904097,3790.32271380959,1706.87731029284,16.3040647071605,1723.181375,1231.21046209793,1.55631346191494,1232.76677555985
198000,2917.25087780857,496.801207721971,3414.05208553054,1450.11764239968,81.3823576003179,1531.5,1108.99868046166,44.6373521265935,1153.63603258825
201600,2290.97875951145,241.836640494905,2532.81540000636,1282.61160408301,27.752020916988,1310.363625,954.899132626204,14.60688911299,969.506021739194
205200,2134.07744345353,185.652473423982,2319.72991687751,1212.97065051555,23.5209744844454,1236.491625,892.437335209446,11.0127136095081,903.450048818954
208800,2077.44177006536,248.553423905663,2325.99519397102,1183.07796084077,32.7290391592291,1215.807,866.939583064966,14.6905675083634,881.630150573329
212400,1983.63374015724,281.151972066302,2264.78571222354,1134.89855565927,45.9464443407256,1180.845,832.808334129663,27.8006051961928,860.608939325856
216000,1886.6792910962,298.192447445868,2184.87173854206,1062.65383021152,37.3656697884838,1100.0195,765.361664548425,23.3594458265803,788.721110375005
