cap_per_sqkm,st_pv_power_density,st_c0,st_c1,t_store,cop_multiplier,demand_multiplier,capacity_mw,panel_area_m2,pv_total_mwh,pv_optimal_mwh,st_total_mwh,hp_total_mwh,dhw_mwh,sph_mwh,st_coverage_pct,pv_coverage_pct,hp_coverage_pct
14.958205788406627,188.17543077845596,0.7785828280416017,3.141660526394188,77.47562329060845,0.9716275929943871,1.1066263695604257,0.5302328847951733,2817.7583152150764,202.2339871033509,3788846.5618611686,1.2847174367320782,1023.6329981543408,1768.439757547487,14993.334997508338,0.07264694379602468,1.348825909225393,6.827253565163807
21.85168073506446,191.6753894969418,0.7510909922812421,2.5141258403951534,82.3842929400446,1.053053559890296,1.044277414729713,0.7745902067182721,4041.156294249402,295.43332819947136,3788846.5618611686,5.145460847910047,1620.6910777393455,1668.8032645114838,14148.588484832411,0.308332381493531,2.088076337199164,11.45478985042756
21.301780615437888,199.10027545948932,0.7696689083042597,3.233987236548779,89.51668947531203,1.0863263445592224,0.9277678382153558,0.7550975529265456,3792.549011717386,287.9987136959803,3788846.5618611686,0.0,1629.8256687719995,1482.6156108367811,12570.036627450341,0.0,2.2911525418076435,12.965957992618732
19.296509283378207,188.1902264872827,0.7501221375775735,3.4840443233005853,77.44322144516859,1.0001888317502101,1.0046618206011604,0.6840154446686724,3634.70227671412,260.88757333309087,3788846.5618611686,0.10248308771295501,1359.3324596561474,1605.4957258490665,13611.849174950748,0.00638326755175613,1.9166210996018829,9.98639084363103
16.90790145554653,204.05005838124964,0.8144451047568818,3.1714064980535133,89.93069669856744,0.9640265353906023,1.0587321472903612,0.5993449676668693,2937.244774255569,228.59374802530778,3788846.5618611686,0.04640922095831685,1148.0046052500597,1691.9025909400784,14344.431140983175,0.002743019675413483,1.5936062279402448,8.00313790046452
19.76396110817747,185.9877911701511,0.7665504859014755,2.78175461813019,89.60932074402126,0.9190448583168115,1.1002021785216034,0.7005855021389463,3766.8359720343956,267.2074921552508,3788846.5618611686,0.35252155333589996,1279.309527670081,1758.1736052528818,14906.295639887288,0.020050440541404674,1.7925814609515638,8.582343719567836
21.719682876898204,207.80791818715795,0.8181833548039721,2.636239047128501,73.25845008648388,0.9224046899075016,1.078054016058622,0.7699111960058693,3704.9175157631125,293.64872558578395,3788846.5618611686,10.886654637261552,1411.0419206255212,1722.7798245392382,14606.217105233696,0.6319237364050984,2.010436538565237,9.660556942700223
19.014899784461118,206.35841150226753,0.813119852754605,3.0922426151244995,71.02934059657363,0.9358251391335434,1.2469973884895196,0.6740330564659203,3266.3221797407264,257.08023088990035,3788846.5618611686,6.519268131253016,1253.296083063562,1992.759091976745,16895.17808442257,0.3271478302370277,1.5216189471653425,7.418069681189728
17.37678342270914,194.04893828368986,0.7951972040600375,3.111377093985293,71.65332638815283,1.0459029060376603,0.9389263300030849,0.6159657202888018,3174.280291027878,234.9330022808984,3788846.5618611686,5.164599077697369,1280.0463393899822,1500.447393138811,12721.21954703577,0.34420394219176575,1.846780502547346,10.062292649357284
18.551323204563477,190.803316802257,0.7910089284119869,2.694888158567851,78.75078419960775,0.9246845118155247,0.8096883251995577,0.657600367227675,3446.482892690974,250.8127051313567,3788846.5618611686,5.828088475647533,1208.1849157704967,1293.9191265374511,10970.214190820941,0.4504213869412066,2.286306363472995,11.013321114380938
